This is file     boxconverter_4_16.dat
Purpose: Examine the effect of cat/temp/pres/conc effect
         on chemical process conversion yield
Source:  Box, Hunter, & Hunter (1978), "Statistics for Experimenters",
         page 325, Wiley
2**4 Full Factorial Design
Number of observations = 16
Total number of variables per line image = 6
Order of Variables on a line image:
   1. Response variable = % conversion
   2. Factor 1 = catalyst charge (2 levels:  10 &  15 pounds)
   3. Factor 2 = temperature     (2 levels: 220 & 240 deg c)
   4. Factor 3 = pressure        (2 levels:  50 &  80 psi)
   5. Factor 4 = concentration   (2 levels:  10 &  12 %)
   6. Order number = order in which data was collected
To read this file into dataplot--
   skip 25
   read    boxconverter_4_16.dat    y x1 x2 x3 x4 order



 Y   X1   X2   X3   X4        Run
Conv Cat Temp Pres Conc      Order
 %
-----------------------------------
71   -1   -1   -1   -1         8
61   +1   -1   -1   -1         2
90   -1   +1   -1   -1        10
82   +1   +1   -1   -1         4
68   -1   -1   +1   -1        15
61   +1   -1   +1   -1         9
87   -1   +1   +1   -1         1
80   +1   +1   +1   -1        13
61   -1   -1   -1   +1        16
50   +1   -1   -1   +1         5
89   -1   +1   -1   +1        11
83   +1   +1   -1   +1        14
59   -1   -1   +1   +1         3
51   +1   -1   +1   +1        12
85   -1   +1   +1   +1         6
78   +1   +1   +1   +1         7
